respondent_id,age,years_in_neighborhood,housing_status,work_schedule,occupation_group,hourly_wage,household_income,redevelopment_concern
R0119,39.0,11,homeowner,day,health_care,22.13,,2
R0120,63.0,47,homeowner,day,education,25.22,98000.0,4
R0121,38.0,10,renter,evening,education,22.19,129500.0,3
R0122,18.0,2,temporary_or_other,day,health_care,,72500.0,4
R0123,41.0,25,homeowner,overnight,health_care,,,3
R0124,32.0,0,renter,day,health_care,24.58,75500.0,3
R0125,60.0,17,homeowner,day,trades,27.51,34000.0,2
R0126,36.0,15,temporary_or_other,day,office,30.78,85000.0,3
R0127,52.0,30,homeowner,rotating,other,20.85,,4
R0128,45.0,7,renter,day,education,22.84,47000.0,2
R0129,49.0,28,renter,day,health_care,15.5,51000.0,4
R0130,32.0,7,renter,rotating,health_care,30.13,87000.0,4
R0131,39.0,22,homeowner,day,trades,25.29,43000.0,3
R0132,45.0,21,renter,day,trades,30.41,125500.0,3
R0133,53.0,37,homeowner,day,health_care,20.91,74000.0,4
R0134,52.0,33,homeowner,day,office,18.65,,3
R0135,28.0,12,homeowner,evening,service,11.81,52500.0,3
R0136,41.0,22,living_with_family,rotating,trades,,117500.0,3
R0137,60.0,32,renter,evening,trades,28.79,49000.0,2
R0138,56.0,35,homeowner,day,service,17.76,,4
R0139,37.0,1,homeowner,rotating,health_care,29.89,63500.0,3
R0140,38.0,9,homeowner,day,education,21.49,93000.0,2
R0141,69.0,38,renter,overnight,trades,36.79,,5
R0142,57.0,33,homeowner,day,office,23.28,89000.0,3
R0143,20.0,0,homeowner,day,office,24.6,47500.0,4
R0144,77.0,33,homeowner,evening,health_care,25.49,120500.0,3
R0145,56.0,33,living_with_family,day,education,32.14,68000.0,4
R0146,50.0,0,homeowner,day,other,16.95,82000.0,3
R0147,39.0,23,renter,day,education,23.06,53000.0,3
R0148,30.0,10,renter,rotating,other,19.55,91500.0,4
R0149,36.0,5,renter,day,trades,29.8,106500.0,3
R0150,34.0,5,living_with_family,day,trades,24.34,111000.0,3
R0151,28.0,3,renter,day,other,15.74,62000.0,2
R0152,18.0,0,renter,day,office,23.94,34500.0,3
R0153,67.0,32,homeowner,day,trades,,91000.0,4
R0154,66.0,34,homeowner,evening,trades,30.49,83000.0,4
R0155,55.0,30,homeowner,day,service,,139500.0,4
R0156,48.0,8,renter,day,office,,93000.0,4
R0157,36.0,0,living_with_family,day,other,12.11,29000.0,3
R0158,39.0,12,homeowner,day,trades,22.92,85000.0,3
R0159,45.0,0,renter,overnight,health_care,,64000.0,3
R0160,33.0,0,homeowner,day,health_care,19.96,,1
R0161,,30,homeowner,overnight,trades,19.74,87000.0,3
R0162,45.0,0,homeowner,rotating,health_care,31.0,48500.0,3
R0163,41.0,12,living_with_family,rotating,trades,27.73,42500.0,2
R0164,49.0,18,renter,rotating,education,23.92,55500.0,2
R0165,47.0,26,homeowner,day,trades,,81000.0,3
R0166,60.0,14,homeowner,day,health_care,23.84,,2
R0167,42.0,13,renter,day,education,30.44,114500.0,3
R0168,31.0,6,renter,rotating,health_care,27.96,79000.0,5
R0169,51.0,3,homeowner,overnight,trades,28.84,108500.0,3
R0170,65.0,33,living_with_family,evening,service,22.74,35000.0,4
R0171,74.0,43,homeowner,evening,health_care,31.43,107500.0,5
R0172,60.0,19,living_with_family,day,office,27.06,47500.0,4
R0173,27.0,0,living_with_family,overnight,education,19.9,107000.0,2
R0174,35.0,0,homeowner,day,trades,28.99,87000.0,3
R0175,23.0,7,renter,day,trades,,50000.0,4
R0176,48.0,2,renter,day,service,22.12,41000.0,1
R0177,,24,homeowner,evening,health_care,28.88,95000.0,5
R0178,31.0,12,homeowner,evening,education,23.08,55000.0,2
R0179,70.0,38,homeowner,day,trades,35.41,73500.0,4
R0180,60.0,44,homeowner,evening,health_care,26.07,130500.0,3
R0181,41.0,12,temporary_or_other,rotating,health_care,,105500.0,3
R0182,60.0,44,homeowner,day,education,31.38,118000.0,5
R0183,18.0,2,temporary_or_other,day,trades,29.75,,3
R0184,54.0,25,homeowner,day,service,13.76,52000.0,4
R0185,49.0,23,homeowner,day,education,24.54,61000.0,3
R0186,81.0,65,homeowner,day,health_care,25.46,86000.0,5
R0187,67.0,42,homeowner,day,trades,28.0,54000.0,5
R0188,57.0,32,homeowner,evening,education,28.75,84000.0,2
R0189,43.0,10,renter,evening,service,14.27,87500.0,3
R0190,41.0,10,homeowner,day,service,21.96,109000.0,1
R0191,,10,homeowner,day,education,31.87,110000.0,3
R0192,45.0,18,living_with_family,day,office,26.24,95000.0,4
R0193,38.0,2,homeowner,day,office,27.2,103500.0,3
R0194,67.0,51,homeowner,day,education,24.98,95000.0,5
R0195,41.0,4,homeowner,overnight,service,25.97,,3
R0196,21.0,5,renter,overnight,health_care,16.83,29000.0,3
R0197,53.0,37,homeowner,day,office,,55500.0,3
R0198,39.0,7,renter,overnight,health_care,41.5,77500.0,1
R0199,50.0,31,homeowner,rotating,office,30.64,74500.0,4
R0200,60.0,29,homeowner,rotating,service,,99000.0,4
R0201,28.0,0,temporary_or_other,day,other,17.57,,3
R0202,19.0,0,renter,day,health_care,25.74,98500.0,3
R0203,31.0,0,homeowner,overnight,service,24.9,51500.0,3
R0204,58.0,38,homeowner,day,office,25.23,57500.0,2
R0205,73.0,54,homeowner,day,health_care,33.47,74500.0,2
R0206,70.0,32,renter,day,education,18.77,29500.0,5
R0207,40.0,8,living_with_family,day,trades,30.13,159500.0,4
R0208,46.0,29,homeowner,day,office,25.93,52000.0,2
R0209,52.0,26,renter,day,office,25.92,49000.0,5
R0210,35.0,3,homeowner,day,other,28.45,101500.0,1
R0211,46.0,0,homeowner,day,education,21.51,,2
R0212,43.0,27,renter,rotating,other,26.01,48000.0,3
R0213,63.0,20,homeowner,rotating,service,,55500.0,2
R0214,40.0,12,homeowner,rotating,service,24.14,67500.0,3
R0215,74.0,49,homeowner,day,service,18.42,115000.0,2
R0216,59.0,35,homeowner,evening,service,24.06,,3
R0217,49.0,21,renter,evening,education,19.19,87000.0,3
R0218,22.0,1,renter,day,education,25.33,90500.0,2
R0219,49.0,28,living_with_family,day,trades,33.07,121000.0,3
R0220,,15,homeowner,overnight,service,20.21,61000.0,5
R0221,67.0,41,homeowner,day,service,16.67,60500.0,4
R0222,52.0,23,homeowner,day,other,21.39,56500.0,3
R0223,79.0,63,living_with_family,day,education,25.01,57500.0,4
R0224,,15,renter,day,trades,25.05,,2
R0225,21.0,0,renter,day,office,24.32,55000.0,3
R0226,55.0,19,living_with_family,overnight,service,21.13,77000.0,3
R0227,26.0,6,renter,day,other,20.11,26000.0,4
R0228,48.0,4,homeowner,day,other,21.31,90000.0,2
R0229,36.0,20,renter,day,health_care,29.51,123500.0,3
R0230,64.0,37,homeowner,day,trades,30.82,114000.0,4
R0231,33.0,0,renter,day,trades,31.28,,3
R0232,58.0,42,homeowner,day,office,,52500.0,4
R0233,21.0,5,homeowner,day,other,10.5,,2
R0234,62.0,22,renter,day,education,29.47,96000.0,2
R0235,29.0,0,renter,evening,service,15.8,,3
R0236,51.0,26,temporary_or_other,rotating,other,25.62,81500.0,4
R0237,63.0,28,renter,day,health_care,26.41,42500.0,5
R0238,39.0,0,renter,overnight,trades,30.34,99500.0,2
R0239,45.0,29,homeowner,day,office,28.41,47500.0,3
R0240,66.0,36,homeowner,day,office,,41000.0,4
R0241,49.0,33,renter,overnight,health_care,,179000.0,5
R0242,48.0,24,renter,day,trades,25.69,40500.0,5
R0243,66.0,33,renter,rotating,trades,33.93,61500.0,4
R0244,54.0,16,temporary_or_other,evening,service,25.33,83500.0,3
R0245,45.0,21,renter,evening,health_care,28.23,102500.0,3
R0246,52.0,36,renter,day,health_care,33.88,58500.0,5
R0247,18.0,2,renter,evening,education,27.86,80000.0,3
R0248,18.0,2,temporary_or_other,day,service,15.93,76500.0,2
R0249,32.0,0,renter,overnight,health_care,29.04,86000.0,5
R0250,54.0,28,homeowner,day,office,24.34,42500.0,4
R0251,33.0,10,renter,day,trades,,33000.0,3
R0252,38.0,22,homeowner,rotating,service,14.29,109500.0,3
R0253,51.0,27,renter,day,trades,,59000.0,4
R0254,57.0,21,homeowner,day,education,23.9,49500.0,4
R0255,56.0,36,homeowner,day,education,24.15,79000.0,4
R0256,38.0,22,homeowner,rotating,office,26.41,,3
R0257,54.0,21,living_with_family,evening,other,22.92,83500.0,1
R0258,44.0,12,renter,day,office,18.64,,3
R0259,48.0,6,living_with_family,day,other,20.52,46000.0,2
R0260,64.0,46,homeowner,day,service,17.63,49500.0,3
R0261,85.0,57,homeowner,day,other,24.29,106000.0,5
R0262,20.0,0,renter,overnight,service,12.93,65500.0,3
R0263,36.0,20,temporary_or_other,day,health_care,26.7,47000.0,4
R0264,23.0,0,renter,evening,trades,34.99,128000.0,3
R0265,30.0,0,renter,day,education,30.93,60000.0,3
R0266,66.0,48,renter,overnight,health_care,26.9,52000.0,5
R0267,85.0,47,renter,day,office,23.5,60000.0,4
R0268,62.0,20,renter,evening,other,,67000.0,1
R0269,38.0,22,renter,day,service,17.75,,5
R0270,22.0,0,renter,day,service,14.19,29000.0,3
R0271,,0,temporary_or_other,day,health_care,26.97,66500.0,3
R0272,64.0,36,homeowner,day,education,22.3,40500.0,4
R0273,61.0,45,homeowner,day,other,20.41,35000.0,4
R0274,42.0,9,homeowner,day,service,12.72,12000.0,2
R0275,66.0,43,homeowner,overnight,health_care,20.36,32500.0,4
R0276,57.0,21,homeowner,day,education,27.79,46500.0,4
R0277,64.0,19,homeowner,day,education,,,5
R0278,41.0,0,homeowner,day,trades,28.74,,2
R0279,68.0,46,homeowner,overnight,trades,23.56,58500.0,4
R0280,25.0,9,renter,day,other,21.81,47000.0,2
R0281,52.0,22,living_with_family,day,education,25.13,59000.0,3
R0282,69.0,42,homeowner,day,other,25.63,105000.0,3
R0283,41.0,25,homeowner,day,service,,113000.0,4
R0284,53.0,16,homeowner,overnight,trades,,128000.0,3
R0285,,31,homeowner,evening,trades,24.9,76500.0,4
R0286,43.0,19,homeowner,rotating,education,22.47,61000.0,2
R0287,36.0,0,renter,overnight,trades,29.61,99500.0,2
R0288,32.0,0,renter,day,office,22.25,81500.0,3
R0289,45.0,29,homeowner,day,office,19.88,35500.0,2
R0290,83.0,59,homeowner,day,office,26.99,74000.0,5
R0291,41.0,10,renter,day,education,17.3,,3
R0292,41.0,13,temporary_or_other,day,office,22.8,70500.0,3
R0293,64.0,16,renter,day,service,13.89,,3
R0294,18.0,2,renter,overnight,service,16.97,88000.0,2
R0295,31.0,15,living_with_family,day,health_care,,,2
R0296,,0,renter,overnight,education,28.41,75500.0,2
R0297,48.0,26,renter,evening,other,24.21,81500.0,4
R0298,38.0,0,living_with_family,evening,service,21.75,27000.0,2
R0299,42.0,26,homeowner,day,trades,30.62,103000.0,2
R0300,36.0,9,temporary_or_other,day,health_care,20.08,79500.0,3
R0301,39.0,0,homeowner,day,office,26.61,60000.0,2
R0302,,1,renter,evening,education,23.61,88500.0,3
R0303,28.0,4,renter,evening,service,12.93,58000.0,2
R0304,73.0,35,homeowner,day,office,25.25,,3
R0305,18.0,2,homeowner,day,other,17.94,65500.0,1
R0306,59.0,27,homeowner,day,office,25.4,108500.0,1
R0307,59.0,16,homeowner,day,trades,30.56,75000.0,3
R0308,47.0,22,renter,rotating,education,26.54,47500.0,5
R0309,56.0,39,renter,day,service,16.68,68000.0,5
R0310,24.0,0,renter,day,office,27.24,54000.0,4
R0311,,35,homeowner,day,service,10.5,12000.0,3
R0312,48.0,11,renter,day,other,19.98,39000.0,2
R0313,54.0,8,homeowner,day,health_care,24.25,78000.0,5
R0314,60.0,24,homeowner,evening,service,19.57,49000.0,4
R0315,57.0,38,temporary_or_other,evening,service,21.47,50500.0,3
R0316,68.0,39,homeowner,evening,health_care,,33500.0,2
R0317,53.0,29,renter,day,service,10.93,49000.0,3
R0318,67.0,32,homeowner,day,office,21.14,37500.0,5
R0319,31.0,4,renter,day,office,28.89,65500.0,3
R0320,62.0,39,homeowner,day,service,14.5,,4
R0321,20.0,4,renter,day,health_care,22.81,93500.0,3
R0322,38.0,13,renter,day,other,14.89,,3
R0323,18.0,0,renter,day,health_care,28.82,124000.0,3
R0324,45.0,5,temporary_or_other,day,office,18.14,73000.0,3
R0325,71.0,47,homeowner,day,trades,37.79,92000.0,3
R0326,18.0,2,homeowner,day,office,28.02,,5
R0327,34.0,0,renter,day,service,,,3
R0328,39.0,1,renter,day,service,12.94,45500.0,2
R0329,33.0,0,homeowner,overnight,health_care,33.24,53500.0,3
R0330,69.0,30,living_with_family,evening,health_care,29.72,63500.0,3
R0331,27.0,0,homeowner,rotating,service,,62500.0,3
R0332,80.0,51,homeowner,day,trades,29.91,87500.0,4
R0333,66.0,43,homeowner,day,office,27.06,72500.0,4
R0334,41.0,7,homeowner,day,health_care,29.73,104000.0,1
R0335,71.0,53,homeowner,day,office,23.27,43000.0,3
R0336,51.0,35,homeowner,day,office,25.95,,3
R0337,39.0,23,renter,day,trades,,86500.0,3
R0338,47.0,31,homeowner,day,office,27.05,41500.0,4
R0339,63.0,32,homeowner,day,office,28.49,,5
R0340,46.0,3,temporary_or_other,day,education,32.94,,2
R0341,43.0,6,homeowner,day,health_care,26.9,58000.0,4
R0342,43.0,6,renter,day,health_care,20.71,,3
R0343,34.0,0,living_with_family,day,education,30.27,99000.0,3
R0344,54.0,14,renter,overnight,trades,27.2,82500.0,3
R0345,48.0,32,homeowner,rotating,health_care,26.87,83500.0,2
R0346,31.0,15,homeowner,rotating,health_care,24.03,91500.0,3
R0347,40.0,8,homeowner,day,health_care,,57500.0,2
R0348,44.0,28,renter,day,service,,58000.0,5
R0349,24.0,5,living_with_family,day,office,22.1,43500.0,2
R0350,50.0,34,renter,day,trades,31.02,70000.0,5
R0351,36.0,8,living_with_family,day,health_care,,,1
R0352,55.0,27,homeowner,day,service,,38000.0,3
R0353,36.0,8,homeowner,day,other,20.53,45000.0,1
R0354,50.0,18,renter,day,other,23.96,76500.0,4
R0355,45.0,29,temporary_or_other,evening,health_care,,77000.0,3
R0356,47.0,0,homeowner,rotating,health_care,,,3
R0357,51.0,17,renter,day,service,26.41,71000.0,3
R0358,63.0,37,homeowner,evening,health_care,29.89,51500.0,4
R0359,56.0,39,homeowner,day,trades,36.32,,4
R0360,41.0,14,homeowner,overnight,service,,39000.0,3
R0361,33.0,0,renter,day,other,25.38,49500.0,3
R0362,75.0,12,homeowner,day,service,19.38,57500.0,2
R0363,42.0,3,homeowner,overnight,service,18.27,93500.0,2
R0364,40.0,18,renter,rotating,health_care,29.79,51500.0,4
R0365,26.0,0,renter,day,education,21.3,,3
R0366,41.0,8,renter,evening,trades,31.7,115500.0,3
R0367,18.0,2,temporary_or_other,day,other,19.15,65000.0,3
R0368,40.0,0,living_with_family,day,health_care,21.98,72000.0,1
R0369,53.0,37,homeowner,evening,service,14.94,,4
R0370,41.0,21,renter,day,health_care,23.95,,4
R0371,78.0,48,homeowner,day,service,22.89,47000.0,3
R0372,56.0,38,homeowner,day,other,15.93,39000.0,3
R0373,71.0,55,renter,day,health_care,19.61,70000.0,4
R0374,30.0,3,renter,day,trades,,,3
R0375,27.0,0,renter,rotating,other,,,1
R0376,29.0,3,renter,rotating,health_care,,51500.0,3
R0377,54.0,3,renter,day,office,19.62,53500.0,2
R0378,24.0,8,renter,day,office,26.89,50000.0,3
R0379,50.0,32,homeowner,day,office,20.34,50500.0,4
R0380,41.0,0,renter,day,office,31.96,76500.0,1
R0381,62.0,34,homeowner,overnight,service,24.71,44500.0,3
R0382,36.0,6,homeowner,day,education,24.25,35500.0,1
R0383,39.0,9,renter,day,education,21.85,77500.0,2
R0384,60.0,23,homeowner,rotating,service,22.81,58000.0,3
R0385,19.0,0,renter,day,service,25.22,83000.0,3
R0386,52.0,35,renter,day,trades,30.83,54000.0,4
R0387,48.0,15,living_with_family,day,service,16.5,12000.0,4
R0388,,11,renter,day,service,20.9,80500.0,2
R0389,43.0,18,renter,day,health_care,,116500.0,4
R0390,62.0,44,homeowner,day,education,33.36,83000.0,5
R0391,62.0,37,homeowner,overnight,service,16.3,39000.0,4
R0392,64.0,48,homeowner,day,service,13.64,37000.0,5
R0393,64.0,42,homeowner,day,office,26.2,100000.0,3
R0394,37.0,16,renter,day,education,18.77,,3
R0395,57.0,18,renter,day,health_care,29.51,,4
R0396,48.0,26,homeowner,day,office,21.27,26000.0,4
R0397,,37,homeowner,day,office,23.49,130500.0,3
R0398,58.0,36,homeowner,day,office,31.93,107000.0,4
R0399,51.0,13,renter,day,trades,28.08,59500.0,2
R0400,30.0,8,renter,evening,trades,26.69,50500.0,3
R0401,55.0,14,renter,overnight,service,23.18,71000.0,2
R0402,53.0,26,homeowner,day,trades,31.05,100000.0,4
R0403,44.0,1,homeowner,day,office,21.55,,2
R0404,19.0,3,temporary_or_other,day,office,19.16,35000.0,2
R0405,47.0,0,renter,rotating,trades,22.96,51500.0,4
R0406,71.0,55,homeowner,day,office,25.78,57000.0,5
R0407,46.0,22,homeowner,day,trades,29.47,54500.0,3
R0408,47.0,31,homeowner,overnight,trades,25.5,42500.0,3
R0409,52.0,36,homeowner,day,service,16.08,43500.0,4
R0410,62.0,20,homeowner,rotating,health_care,28.09,66000.0,4
R0411,46.0,30,living_with_family,day,health_care,29.85,90000.0,2
R0412,51.0,29,homeowner,rotating,office,28.71,,3
R0413,18.0,2,renter,day,trades,,87000.0,2
R0414,33.0,0,homeowner,rotating,office,,83000.0,4
R0415,24.0,0,renter,day,other,21.24,38000.0,2
R0416,58.0,36,renter,day,other,22.43,60500.0,4
R0417,42.0,6,homeowner,evening,service,19.53,,2
R0418,53.0,24,homeowner,day,education,29.45,151000.0,3
R0419,18.0,2,renter,day,service,13.06,24000.0,4
R0420,21.0,0,renter,evening,office,29.13,80000.0,2
R0421,43.0,24,renter,day,office,29.34,60000.0,3
R0422,51.0,0,renter,evening,trades,31.49,50500.0,4
R0423,71.0,49,homeowner,overnight,health_care,25.67,75000.0,4
R0424,61.0,39,homeowner,day,other,16.29,74500.0,4
R0425,32.0,16,homeowner,day,education,25.46,,2
R0426,,0,renter,day,education,19.68,87000.0,2
R0427,19.0,0,living_with_family,rotating,health_care,,,2
R0428,69.0,20,homeowner,day,service,15.69,38000.0,1
R0429,57.0,14,homeowner,day,other,13.96,20500.0,3
R0430,44.0,16,living_with_family,day,service,12.77,12000.0,5
R0431,63.0,42,renter,day,trades,28.3,91000.0,5
R0432,50.0,22,homeowner,day,trades,29.9,,2
R0433,31.0,15,homeowner,evening,trades,26.77,68500.0,3
R0434,72.0,46,homeowner,day,other,16.44,32500.0,3
R0435,18.0,0,renter,rotating,service,10.93,15500.0,2
R0436,58.0,25,renter,evening,service,,23500.0,4
R0437,46.0,14,homeowner,evening,service,17.93,,2
R0438,35.0,0,homeowner,rotating,service,,66500.0,2
R0439,55.0,8,homeowner,rotating,other,27.5,52000.0,2
R0440,28.0,9,living_with_family,rotating,service,,15500.0,4
R0441,73.0,57,homeowner,evening,service,23.91,,4
R0442,45.0,16,renter,evening,education,,,4
R0443,18.0,0,renter,rotating,health_care,26.74,75000.0,3
R0444,39.0,0,renter,evening,service,18.17,98000.0,1
R0445,50.0,24,living_with_family,overnight,service,,86000.0,1
R0446,37.0,9,living_with_family,rotating,health_care,34.12,62000.0,2
R0447,33.0,11,homeowner,overnight,trades,31.48,59000.0,3
R0448,41.0,10,renter,day,health_care,36.2,110000.0,4
R0449,49.0,33,homeowner,day,office,25.62,93000.0,3
R0450,61.0,29,renter,rotating,health_care,38.62,,4
R0451,55.0,28,homeowner,day,health_care,30.35,,3
R0452,53.0,15,homeowner,day,service,14.13,38000.0,3
R0453,49.0,33,living_with_family,day,health_care,26.57,84500.0,4
R0454,64.0,29,homeowner,day,service,,33500.0,4
R0455,51.0,35,homeowner,day,trades,26.83,,2
R0456,32.0,0,renter,day,office,25.36,40000.0,4
R0457,68.0,37,homeowner,day,office,33.47,112000.0,4
R0458,51.0,32,homeowner,overnight,trades,,93000.0,4
R0459,,23,homeowner,day,health_care,29.0,55000.0,3
R0460,60.0,34,renter,day,trades,33.34,131000.0,4
R0461,55.0,32,renter,day,service,22.1,39500.0,5
R0462,43.0,3,living_with_family,overnight,service,15.77,31500.0,2
R0463,,0,living_with_family,rotating,service,18.75,69500.0,3
R0464,49.0,8,renter,day,office,30.7,53000.0,2
R0465,45.0,25,living_with_family,day,office,19.62,56000.0,3
R0466,38.0,0,homeowner,overnight,health_care,,95500.0,3
R0467,37.0,4,living_with_family,day,education,12.86,55000.0,2
R0468,45.0,0,renter,rotating,office,,43000.0,4
R0469,49.0,20,homeowner,rotating,service,21.53,28500.0,3
R0470,58.0,26,homeowner,evening,other,24.03,50500.0,2
