respondent_id,field,true_value,mechanism,mechanism_basis
R0505,hourly_wage,22.07,MAR,Missingness depends on observed work_schedule and occupation_group.
R0523,hourly_wage,21.76,MAR,Missingness depends on observed work_schedule and occupation_group.
R0529,hourly_wage,21.17,MAR,Missingness depends on observed work_schedule and occupation_group.
R0535,hourly_wage,27.3,MAR,Missingness depends on observed work_schedule and occupation_group.
R0541,hourly_wage,19.32,MAR,Missingness depends on observed work_schedule and occupation_group.
R0543,hourly_wage,22.68,MAR,Missingness depends on observed work_schedule and occupation_group.
R0560,hourly_wage,24.86,MAR,Missingness depends on observed work_schedule and occupation_group.
R0565,hourly_wage,23.88,MAR,Missingness depends on observed work_schedule and occupation_group.
R0587,hourly_wage,20.27,MAR,Missingness depends on observed work_schedule and occupation_group.
R0590,hourly_wage,26.11,MAR,Missingness depends on observed work_schedule and occupation_group.
R0594,hourly_wage,36.75,MAR,Missingness depends on observed work_schedule and occupation_group.
R0596,hourly_wage,23.5,MAR,Missingness depends on observed work_schedule and occupation_group.
R0597,hourly_wage,27.43,MAR,Missingness depends on observed work_schedule and occupation_group.
R0003,household_income,72500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0004,household_income,12000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0007,household_income,117500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0014,household_income,103500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0016,household_income,38000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0028,household_income,38500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0037,household_income,33500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0039,household_income,28000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0041,household_income,42000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0042,household_income,57500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0044,household_income,42000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0050,household_income,44000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0055,household_income,58500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0059,household_income,38500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0062,household_income,68500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0064,household_income,53500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0084,household_income,88500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0094,household_income,79500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0096,household_income,46500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0109,household_income,42000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0110,household_income,87000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0119,household_income,46500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0123,household_income,83000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0127,household_income,58500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0134,household_income,26500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0138,household_income,76000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0141,household_income,91000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0160,household_income,78000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0166,household_income,41000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0183,household_income,55500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0195,household_income,76500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0201,household_income,36000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0211,household_income,93500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0216,household_income,32000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0224,household_income,106500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0231,household_income,76500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0233,household_income,12000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0235,household_income,12000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0256,household_income,47000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0258,household_income,43000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0269,household_income,43500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0277,household_income,43000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0278,household_income,54000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0291,household_income,38500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0293,household_income,44000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0295,household_income,69500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0304,household_income,44500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0320,household_income,30500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0322,household_income,20500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0326,household_income,37000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0327,household_income,31500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0336,household_income,56000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0339,household_income,88000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0340,household_income,61500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0342,household_income,87500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0351,household_income,33500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0356,household_income,81500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0359,household_income,61500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0365,household_income,38500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0369,household_income,21000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0370,household_income,35500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0374,household_income,51000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0375,household_income,39000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0394,household_income,44000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0395,household_income,71000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0403,household_income,44000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0412,household_income,56000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0417,household_income,62500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0425,household_income,101000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0427,household_income,123000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0432,household_income,50500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0437,household_income,70000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0441,household_income,67500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0442,household_income,59500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0450,household_income,90500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0451,household_income,58000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0455,household_income,127500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0472,household_income,31500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0479,household_income,35000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0482,household_income,38500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0492,household_income,40500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0497,household_income,65000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0502,household_income,41000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0513,household_income,77000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0514,household_income,43500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0515,household_income,39000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0518,household_income,40000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0526,household_income,60000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0529,household_income,45000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0532,household_income,54500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0543,household_income,78000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0545,household_income,38500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0553,household_income,48500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0555,household_income,102000.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0571,household_income,104500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0585,household_income,58500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0587,household_income,80500.0,MNAR,Lower underlying household incomes are more likely to be missing.
R0590,household_income,68000.0,MNAR,Lower underlying household incomes are more likely to be missing.
